total_attempts,StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,invalid class id,rDHpS < vPDHpS,improv.< minDiff,improv.< diffRatio * vPDHpS,Final Miss Ratio,minDiff,diffRatio,minSlabs,numSlabsFreeMem,minLTA,maxLTA
250,234,1,0,14,0,0,0,0,0.06250500000000003,100,0.250000,1,3,0,0
246,231,1,0,13,0,0,0,0,0.06256300000000004,90,0.200000,4,1,0,0
249,233,1,0,14,0,0,0,0,0.06242899999999996,70,0.200000,2,2,0,0
246,230,1,0,14,0,0,0,0,0.06264499999999995,100,0.050000,2,5,0,0
246,231,1,0,13,0,0,0,0,0.06253200000000003,10,0.200000,4,1,0,0
255,240,1,0,13,0,0,0,0,0.06209799999999999,70,0.200000,5,2,0,0
247,232,1,0,13,0,0,0,0,0.06245199999999995,10,0.250000,3,5,0,0
249,234,1,0,13,0,0,0,0,0.06240599999999996,20,0.250000,5,3,0,0
246,231,1,0,13,0,0,0,0,0.06256700000000004,10,0.050000,2,1,0,0
250,234,1,0,14,0,0,0,0,0.062362999999999946,70,0.150000,2,4,0,0
251,236,1,0,13,0,0,0,0,0.06215999999999999,100,0.050000,2,2,0,0
244,229,1,0,13,0,0,0,0,0.06264099999999995,20,0.250000,4,1,0,0
249,233,1,0,14,0,0,0,0,0.06249099999999996,40,0.050000,2,5,0,0
