Eviction Algo,total_attempts, StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,invalid max or main ranks,Final Miss Ratio,minSlabs,movingAverageParam,maxFreeMemSlabs
Lru2Q,344,5,0,0,0,338,0.851098,5,0.400000,1
Lru2Q,283,15,0,0,0,267,0.83872,3,0.150000,5
Lru2Q,681,86,0,0,0,594,0.833899,2,0.200000,1
Lru2Q,299,5,0,0,0,293,0.849801,5,0.050000,1
Lru2Q,283,84,0,0,0,198,0.819987,1,0.050000,4
Lru2Q,287,5,0,0,0,281,0.84977,5,0.100000,4
Lru2Q,283,92,0,0,0,190,0.820354,1,0.250000,2
Lru2Q,288,0,0,0,0,287,0.866662,2,0.150000,0
Lru2Q,300,6,0,0,0,293,0.845199,4,0.450000,2
Lru2Q,287,48,0,0,0,238,0.8292619999999999,2,0.050000,1
Lru2Q,301,49,0,0,0,251,0.829331,2,0.350000,5
Lru2Q,266,87,0,0,0,178,0.820338,1,0.400000,2
Lru2Q,329,49,0,0,0,279,0.8303780000000001,2,0.300000,5
Lru2Q,283,19,0,0,0,263,0.8392660000000001,3,0.050000,2
Lru2Q,288,7,0,0,0,280,0.845446,4,0.450000,3
Lru2Q,452,138,0,0,0,313,0.820486,1,0.200000,4
Lru2Q,288,7,0,0,0,280,0.848174,5,0.200000,5
Lru2Q,445,128,0,0,0,316,0.8204210000000001,1,0.450000,3
Lru2Q,293,21,0,0,0,271,0.839203,3,0.100000,3
Lru2Q,286,0,0,0,0,285,0.866662,1,0.400000,0
Lru2Q,298,15,0,0,0,282,0.838759,3,0.350000,2
Lru2Q,291,6,0,0,0,284,0.845188,4,0.400000,4
Lru2Q,287,15,0,0,0,271,0.83882,3,0.050000,3
Lru2Q,281,0,0,0,0,280,0.866662,5,0.100000,0
Lru2Q,267,0,0,0,0,266,0.866662,2,0.100000,0
Lru2Q,296,0,0,0,0,295,0.866662,3,0.350000,0
Lru2Q,284,8,0,0,0,275,0.8441069999999999,4,0.350000,3
Lru2Q,313,44,0,0,0,268,0.829143,2,0.400000,1
Lru2Q,272,17,0,0,0,254,0.8406830000000001,3,0.200000,2
Lru2Q,277,6,0,0,0,270,0.84519,4,0.400000,1
Lru2Q,184,0,0,0,0,183,0.866662,0,0.050000,0
Lru2Q,279,5,0,0,0,273,0.849803,5,0.050000,5
Lru2Q,294,17,0,0,0,276,0.837149,3,0.300000,2
Lru2Q,290,6,0,0,0,283,0.845134,4,0.450000,4
Lru2Q,275,0,0,0,0,274,0.866662,2,0.050000,0
Lru2Q,297,0,0,0,0,296,0.866662,1,0.200000,0
Lru2Q,276,90,0,0,0,185,0.820397,1,0.350000,3
Lru2Q,280,0,0,0,0,279,0.866662,0,0.200000,0
Lru2Q,291,15,0,0,0,275,0.837626,3,0.300000,3
Lru2Q,286,17,0,0,0,268,0.8386709999999999,3,0.100000,4
Lru2Q,199298,279032,91370,0,0,27780,0.87651,0,0.400000,1
Lru2Q,208637,268168,101257,0,0,47448,0.879671,0,0.150000,3
Lru2Q,207130,267512,100519,0,0,45753,0.874988,0,0.100000,3
Lru2Q,206987,267638,100175,0,0,45737,0.875076,0,0.150000,2
Lru2Q,220851,309490,101398,0,0,30293,0.881123,0,0.300000,1
Lru2Q,206236,264291,99873,0,0,47861,0.879646,0,0.450000,2
Lru2Q,215398,279062,104150,0,0,47111,0.877987,0,0.400000,2
Lru2Q,209852,270196,102349,0,0,46801,0.875048,0,0.350000,3
Lru2Q,200014,261762,97452,0,0,40432,0.876907,0,0.150000,5
Lru2Q,211138,298331,96135,0,0,27335,0.877211,0,0.200000,1
Lru2Q,195459,256806,94309,0,0,39374,0.873005,0,0.350000,2
Lru2Q,203098,266878,99353,0,0,39534,0.878662,0,0.350000,5
Lru2Q,200199,261781,97654,0,0,40595,0.877221,0,0.200000,5
Lru2Q,208692,293155,95968,0,0,27808,0.877043,0,0.050000,1
Lru2Q,206426,266343,100206,0,0,45905,0.875409,0,0.200000,3
Lru2Q,197648,256949,96787,0,0,41210,0.881712,0,0.300000,5
Lru2Q,208498,267431,102413,0,0,46818,0.886447,0,0.450000,5
Lru2Q,214295,279254,104254,0,0,44637,0.875888,0,0.250000,3
Lru2Q,191247,251929,93582,0,0,36559,0.881018,0,0.400000,5
Lru2Q,198009,257614,96163,0,0,41828,0.8763110000000001,0,0.300000,3
Lru2Q,207710,271074,100367,0,0,43556,0.874958,0,0.250000,2
Lru2Q,207198,292997,94897,0,0,26034,0.8781909999999999,0,0.100000,1
Lru2Q,208302,267346,101563,0,0,47253,0.878236,0,0.450000,3
Lru2Q,221130,284370,107790,0,0,49641,0.87872,0,0.050000,4
Lru2Q,296123,416603,134975,0,0,40066,0.888656,0,0.350000,1
Lru2Q,298286,367789,146676,0,0,81483,0.881511,0,0.300000,4
Lru2Q,241768,306731,118347,0,0,58008,0.878443,0,0.100000,4
Lru2Q,308218,373343,151742,0,0,90862,0.889012,0,0.450000,4
Lru2Q,260383,324578,127783,0,0,68042,0.8807780000000001,0,0.350000,4
Lru2Q,312839,379535,153754,0,0,91832,0.88954,0,0.200000,4
Lru2Q,234610,302349,113662,0,0,52703,0.877655,0,0.300000,2
Lru2Q,251193,356440,111923,0,0,33548,0.87953,0,0.150000,1
Lru2Q,301681,370246,148434,0,0,84195,0.881763,0,0.250000,4
Lru2Q,284870,353643,139450,0,0,76138,0.872327,0,0.100000,2
Lru2Q,294300,367001,143699,0,0,77356,0.87863,0,0.050000,2
Lru2Q,296891,369081,144820,0,0,79247,0.87795,0,0.200000,2
Lru2Q,264913,333894,129391,0,0,66103,0.883748,0,0.400000,3
Lru2Q,299358,413663,137832,0,0,46595,0.893017,0,0.450000,1
Lru2Q,303085,372136,149319,0,0,84269,0.886559,0,0.250000,5
Lru2Q,304100,372043,149490,0,0,86172,0.883612,0,0.100000,5
Lru2Q,308574,432451,139152,0,0,44911,0.889656,0,0.250000,1
Lru2Q,314112,380700,154486,0,0,92487,0.886728,0,0.400000,4
Lru2Q,320608,388723,157513,0,0,94403,0.884852,0,0.050000,3
Lru2Q,345377,417092,170276,0,0,102965,0.89078,0,0.050000,5
Lru2Q,319368,386621,156946,0,0,94600,0.88487,0,0.150000,4
